1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
215	-1.700417	316.364504	0.008205	14.4
216	-0.636683	315.765329	0.013606	15.8
217	-0.000000	315.169170	0.000000	14.5
218	-0.000006	314.576003	0.000002	12.5
219	-1.172232	313.985804	0.008735	11.2
220	-1.376600	313.398548	0.012729	7.9
221	-0.276418	312.814213	0.005637	11.6
222	-1.024329	312.232773	0.018178	13.3
223	-0.005449	311.654207	0.000581	11.7
224	-0.042195	311.078491	0.001293	9.4
225	-0.000000	310.505602	0.000000	13.6
226	-0.001757	309.935518	0.000277	15.4
227	-1.513506	309.368217	0.013436	12.8
228	-1.156098	308.803676	0.027313	13.1
229	-1.976149	308.241874	0.007970	10.9
230	-1.572047	307.682789	0.026526	9.6
231	-1.832643	307.126400	0.031560	11.3
232	-1.542635	306.572687	0.031047	15.5
233	-1.774259	306.021627	0.015507	13.9
234	-0.192609	305.473201	0.005253	12.1
235	-0.955794	304.927388	0.012078	9.7
236	-0.916990	304.384168	0.020404	14.2
237	-0.000000	303.843521	0.000000	9.5
238	-0.028481	303.305427	0.002105	9.5
239	-0.000438	302.769867	0.000081	8.3
240	-1.699420	302.236821	0.017932	10.8
241	-0.506829	301.706270	0.003027	11.7
242	-0.108548	301.178196	0.001529	8.2
243	-1.702096	300.652580	0.020330	7.4
244	-1.418532	300.129402	0.009841	9.2
245	-0.373828	299.608645	0.007278	8.2
246	-0.000036	299.090291	0.000008	8.5
247	-0.623326	298.574321	0.009883	8.5
248	-1.345334	298.060718	0.031268	10.8
249	-1.341011	297.549465	0.017415	10.6
250	-0.506506	297.040543	0.009752	9.6
251	-0.018364	296.533936	0.000896	9.6
252	-0.608525	296.029626	0.009538	9.1
253	-0.697396	295.527597	0.011687	9.0
254	-0.000000	295.027832	0.000000	10.0
255	-0.409781	294.530315	0.007066	9.5
256	-0.388073	294.035028	0.004783	10.9
257	-0.080557	293.541956	0.003031	15.3
258	-0.236162	293.051083	0.002949	11.1
259	-0.973527	292.562393	0.010011	9.1
260	-0.000000	292.075870	0.000000	8.5
261	-0.355489	291.591498	0.007431	11.6
262	-1.423947	291.109263	0.023037	9.3
263	-1.441464	290.629149	0.020098	7.9
264	-0.566777	290.151140	0.007643	11.9
265	-1.621912	289.675222	0.029120	12.8
266	-1.026996	289.201380	0.008734	8.5
267	-0.280353	288.729600	0.003848	9.0
268	-0.000000	288.259866	0.000000	8.7
269	-0.623417	287.792165	0.006327	9.7
270	-1.719887	287.326481	0.018192	9.1
271	-0.879608	286.862802	0.027883	8.3
272	-0.000000	286.401113	0.000000	9.4
273	-0.917914	285.941400	0.019395	9.2
274	-1.021085	285.483649	0.008727	9.8
275	-0.000000	285.027847	0.000000	9.7
276	-0.000000	284.573981	0.000000	8.1
277	-0.183408	284.122037	0.008161	9.1
278	-1.126591	283.672002	0.013018	8.9
279	-0.004986	283.223863	0.000250	9.6
280	-1.953898	282.777607	0.015532	10.4
281	-0.005239	282.333221	0.000598	13.0
282	-0.000000	281.890692	0.000000	13.3
283	-1.411042	281.450008	0.018791	9.0
284	-1.129847	281.011157	0.009239	8.8
285	-0.259884	280.574125	0.004686	8.5
286	-1.039108	280.138901	0.028896	10.5
287	-0.000000	279.705473	0.000000	8.8
288	-1.175091	279.273829	0.027601	8.8
289	-0.835340	278.843956	0.026730	9.3
290	-0.000000	278.415844	0.000000	8.9
291	-1.641295	277.989479	0.020470	9.8
292	-1.243896	277.564851	0.010502	8.4
293	-1.775836	277.141949	0.009797	9.9
294	-0.229460	276.720761	0.007652	9.2
295	-0.412013	276.301275	0.006685	9.7
296	-1.858366	275.883480	0.014055	14.6
297	-0.271597	275.467366	0.007011	9.3
298	-1.631097	275.052922	0.007724	12.0
299	-0.832790	274.640136	0.006670	7.9
300	-1.638504	274.228998	0.010767	9.6
301	-0.091775	273.819497	0.002975	10.7
302	-0.036569	273.411623	0.003398	10.3
303	-0.670736	273.005365	0.012714	10.2
304	-0.000051	272.600712	0.000012	10.4
305	-1.642197	272.197655	0.025484	8.2
306	-0.242833	271.796184	0.007961	9.6
307	-0.787322	271.396287	0.008458	7.2
308	-0.000864	270.997956	0.000096	9.6
309	-0.000169	270.601180	0.000038	8.6
310	-0.000000	270.205949	0.000000	7.2
311	-0.607867	269.812254	0.009511	9.8
312	-1.710114	269.420085	0.016769	8.2
313	-0.000440	269.029432	0.000087	7.7
314	-1.040160	268.640287	0.007463	9.2
315	-1.730915	268.252638	0.007716	8.9
316	-1.407417	267.866478	0.042372	8.2
317	-1.845340	267.481796	0.027103	10.4
318	-1.226052	267.098584	0.016163	9.4
319	-1.862378	266.716833	0.018222	8.2
320	-0.017905	266.336533	0.001198	9.3
321	-0.444963	265.957676	0.007938	8.2
322	-0.000000	265.580253	0.000000	7.8
323	-0.152022	265.204254	0.003710	10.6
